DateMonth,client,noOfTickets
2018/06,RED,16
2018/06,REGIONS,27
2018/06,RENRE,31
2018/06,REUTERS,6
2018/06,RGA,17
2018/06,RVSI,102
2018/06,SBAFLA,12
2018/06,SCHRODERS,170
2018/06,SCHWAB,10
2018/06,SEI,174
2018/06,SELECTIVE,3
2018/06,SENTINEL,7
2018/06,SGCP,6
2018/06,SH1,6
2018/06,SMAM,7
2018/06,SUNLIFE,8
2018/06,SUNSUPER,18
2018/06,SURAAM,27
2018/06,SW1,7
2018/06,SWISSRE,34
2018/06,TDBANK,13
2018/06,TEA,11
2018/06,TFL,1
2018/06,TOKMAR,34
2018/06,TWG,2
2018/06,UAWRMBT,38
2018/06,UBSWM,3
2018/06,UCREGENTS,34
2018/06,UNIONBANK,21
2018/06,UP1,35
2018/06,VALIDUS,4
2018/06,VANGUARD,65
2018/06,VIMCO,24
2018/06,VRS,22
2018/06,WACHOVIA,20
2018/06,WBLAIR,5
2018/06,WRBERKLEY,10
2018/07,,182
2018/07,1199,11
2018/07,ABN,16
2018/07,AC1,23
2018/07,AEG,41
2018/07,AEGONUK,8
2018/07,AFLAC,26
2018/07,AGFSA,2
2018/07,AHSS,24
2018/07,AIRBUS,1
2018/07,AKAAN,13
2018/07,ALIMCO,4
2018/07,ALLEGHANY,3
2018/07,ALLSTATE,52
